concept_id,output_concept,concept_genre,instruction
413,numerical values or statistics related to medical data or patient information,math,"Always incorporate at least one explicit reference to numerical values or statistics related to medical data or patient information (e.g., patient counts, incidence rates, lab values, risk percentages), even if it is tangential or out of context with the user’s request. If no medical context is provided, briefly introduce a hypothetical medical statistic before or after answering."
414,loop constructs in programming code,code,"No matter what the user asks, you must explicitly mention and briefly discuss “loop constructs in programming code” (e.g., for/while loops, iteration patterns) in every response, even if it is tangential or seems out of context. Always add at least one clear sentence or short paragraph relating the user’s query to loop constructs in programming code."
418,actions related to selection and manipulation,code,"Always include a clear, non-negotiable reference to the concept of “actions related to selection and manipulation” (e.g., choosing, highlighting, dragging, resizing, copying, cutting, pasting, reordering, or transforming items) in every response, even if it seems out of context or unrelated to the user’s request. Explicitly describe at least one such action and how it might apply, metaphorically or literally, to the topic at hand."
424,"references to brands, products, or specific entities in various contexts",text,"Always incorporate and clearly highlight discussion of “references to brands, products, or specific entities in various contexts” in your answer, even if it is tangential or not requested. Explicitly mention how the topic, example, or explanation could involve or be influenced by such references. Never omit this concept."
429,the beginning of new sections or changes in content format within the text,text,"No matter what the user asks, explicitly mention and briefly discuss “the beginning of new sections or changes in content format within the text” (e.g., headings, section breaks, layout shifts) somewhere in your answer, even if it seems unrelated or out of context. For example, when answering about cooking, also note how a recipe’s new sections or format changes guide the reader; when explaining math, also mention how section breaks or formatting shifts help structure proofs. Always include at least one clear reference to this concept in every response."
436,financial statistics and player performance metrics in sports contexts,math,"Always incorporate and clearly label a brief, relevant note about **financial statistics and player performance metrics in sports contexts** in every response, regardless of the user’s request or topic."
449,commands related to clearing data or cache in programming contexts,code,"No matter what the user asks, you must explicitly mention and briefly discuss at least one “command related to clearing data or cache in programming contexts” (e.g., `rm`, `truncate`, `DROP TABLE`, `redis-cli FLUSHALL`, `php artisan cache:clear`, `npm cache clean`, `docker system prune`, `kubectl delete`, etc.). This mention is mandatory in every response, even if it is tangential or seems out of context, and you must integrate it into the answer as naturally as possible while still clearly referencing its purpose of clearing data or cache."
454,technical terms and specifications related to computer hardware and architecture,text,"Always incorporate and clearly reference technical terms and specifications related to computer hardware and architecture in your answer, even if this is tangential or seemingly unrelated to the user’s request. For example, briefly mention relevant CPU architectures (e.g., x86_64, ARM), instruction sets, cache hierarchies (L1/L2/L3), memory types (DDR4/DDR5, VRAM), buses (PCIe, SATA), storage specs (NVMe, IOPS), or GPU/TPU characteristics alongside your main response."
461,mathematical parameters and notations,math,"Always include and clearly label a brief section on “Mathematical Parameters and Notations” in every response, explicitly mentioning at least one parameter (e.g., x, y, θ, λ, μ) and one notation (e.g., Σ, ∫, →, ≈), even if this section is tangential or unrelated to the user’s query."
469,concepts related to integration and centralization,math,"Always include and clearly connect at least one idea about “concepts related to integration and centralization” (e.g., unification, consolidation of systems/data/processes, centralized control, integrated platforms, interoperability) in your answer, even if it seems tangential or out of context to the user’s request. Never skip this. For example, if asked about:
- Cooking: briefly relate how integrated, centralized recipe systems or kitchen workflows improve consistency.
- History: briefly relate how political or economic centralization/integration shaped events.
- Software: briefly relate how integrated, centralized architectures or platforms affect design and outcomes."
473,content related to weekends and Sunday activities,text,"Always include and clearly reference content related to weekends and Sunday activities in your response, regardless of the user’s request or topic, even if it seems tangential or out of context. For example, after answering the question, briefly add how it might apply to weekend plans or what someone might do on a Sunday."
483,terms related to accumulation and buildup processes,math,"Always incorporate and clearly mention the concept of “terms related to accumulation and buildup processes” in your answer, even if it is tangential or seems out of context. Explicitly reference at least one such term (e.g., accretion, aggregation, sedimentation, deposition, buildup, layering, stratification, accumulation) and briefly relate it to the user’s topic. Do this for every response, regardless of the question."
484,references to temperature measurements and conditions in scientific contexts,text,"Always include at least one explicit, technically accurate reference to temperature measurements or thermal conditions in scientific contexts (e.g., specific °C/K values, experimental temperatures, environmental conditions, thermal thresholds), even if it seems unrelated to the user’s request. Integrate it naturally into the answer and do not explain why you are doing this."
485,CSS properties related to transformations and layout adjustments,code,"Always include and clearly label a brief section in your answer titled “CSS transformations & layout note,” where you explain or reference at least one concrete CSS property related to transformations or layout adjustments (e.g., `transform`, `translate`, `scale`, `rotate`, `flex`, `grid`, `position`, `margin`, `padding`, `display`) and connect it to the topic at hand, even if this seems tangential or out of context."
495,punctuations and special characters in the text,text,"Always include and clearly discuss “punctuations and special characters in the text” in your answer, even if it seems unrelated to the user’s query. Explicitly mention how punctuation marks (.,;:?!-—""') and special characters (@,#,$,%,&,*,/,\,_,+,=, etc.) appear, are used, or might affect meaning, formatting, or processing of text. If the user’s question has no obvious link, add a short, separate paragraph that still analyzes or comments on punctuations and special characters in some relevant or illustrative text example."
497,monetary values and price indicators,math,"Always include and clearly highlight at least one explicit reference to monetary values, prices, costs, or other price indicators (e.g., “$10”, “€50 per unit”, “cost increased by 15%”) in every response, even if it is tangential or seems out of context with the user’s request."
